SampleId	gtdb_r207_NR	gtdb_r207_amoA	gtdb_r207_amoB	gtdb_r207_amoC	gtdb_r207_anfD	gtdb_r207_anfG	gtdb_r207_anfH	gtdb_r207_anfK	gtdb_r207_asnB	gtdb_r207_gdhA	gtdb_r207_glnA	gtdb_r207_gltB	gtdb_r207_gltD	gtdb_r207_gudB	gtdb_r207_hao	gtdb_r207_hcp	gtdb_r207_hzo	gtdb_r207_hzsA	gtdb_r207_hzsB	gtdb_r207_hzsC	gtdb_r207_napA	gtdb_r207_napB	gtdb_r207_narG_nxrA	gtdb_r207_narH_nxrB	gtdb_r207_narI	gtdb_r207_narJ	gtdb_r207_nasA	gtdb_r207_nasB	gtdb_r207_nifD	gtdb_r207_nifH	gtdb_r207_nifK	gtdb_r207_nirA	gtdb_r207_nirB	gtdb_r207_nirD	gtdb_r207_nirK	gtdb_r207_nirS	gtdb_r207_norB	gtdb_r207_nosZ	gtdb_r207_nrfA	gtdb_r207_nrfH	gtdb_r207_vnfD	gtdb_r207_vnfG	gtdb_r207_vnfH	gtdb_r207_vnfK	read_pair_count
100_SD7551_S153	1317	22	21	21	9	2	697	5	6881	2164	5477	9070	5373	3839	55	7	39	167	115	1049	2694	47	1967	1159	277	113	6307	3630	9	744	5	1695	2184	91	537	50	354	453	312	263	9	1	688	5	18812126
101_SD7552_S154	989	11	22	25	3	2	530	4	5346	1759	4095	6242	3906	3109	34	4	27	128	85	871	1971	22	1495	997	228	66	4611	2669	1	585	4	1312	1433	47	423	40	246	306	182	147	0	1	533	4	12812863
102_SD7553_S155	651	16	3	21	0	0	451	7	3386	1124	2823	4331	2774	1955	21	4	9	83	63	554	1434	17	1176	657	151	77	3245	1924	1	474	2	916	1069	54	329	9	170	229	90	90	0	0	444	6	9022561
103_SD7554_S156	679	5	6	11	2	0	408	2	3318	1226	2875	4452	2996	2080	15	5	13	83	54	571	1392	11	1201	699	198	96	3128	1997	3	412	1	978	1158	42	332	11	153	173	67	80	1	0	395	2	8243891
104_SD7555_S157	1301	16	18	57	0	1	722	6	6346	2458	5681	8322	5100	4500	45	2	25	101	83	835	2205	20	2742	1523	371	161	5062	3709	1	782	3	1804	1848	82	606	23	410	237	99	160	0	0	711	4	16062801
105_SD7556_S158	1099	11	11	34	4	1	689	2	5802	2347	5376	8369	4868	4360	21	1	10	92	79	748	1997	4	2628	1450	409	170	4474	3372	0	737	0	1607	1680	84	541	17	339	176	37	94	0	0	675	1	14910947
106_SD7557_S159	3800	23	7	30	0	0	1983	10	17707	6532	16766	26457	14066	13428	39	5	21	261	145	2056	5760	38	8410	4641	1195	414	13572	9426	2	2149	0	5234	4419	205	1426	22	942	460	58	194	0	0	2015	0	47006924
107_SD7558_S160	685	6	7	14	1	0	476	1	3640	1469	3281	4597	2950	2735	18	4	14	80	52	525	1337	8	1502	804	224	86	2932	2010	0	512	0	996	1006	51	357	14	213	118	11	59	0	0	474	1	8820948
108_SD7559_S161	1600	13	6	47	0	0	997	5	7060	2929	7517	11489	6234	5822	31	3	24	107	94	976	2528	12	4232	2414	656	211	5692	4237	1	1069	0	2031	1994	76	761	9	491	271	20	109	0	0	980	0	21344865
109_SD7560_S162	2220	15	17	51	1	0	1334	13	10752	4395	10511	15854	9430	8481	34	2	29	165	131	1433	3596	7	5189	2649	724	284	8516	6256	0	1423	1	3078	2890	112	1128	15	631	334	53	166	1	0	1328	4	27557694
110_SD7561_S163	584	29	24	62	2	0	349	5	2853	911	3081	4510	2469	1956	51	5	30	54	50	454	1135	3	1833	1026	266	92	2525	1820	1	375	1	824	950	45	303	10	247	129	16	50	1	0	349	4	10453537
111_SD7562_S164	1026	27	8	59	0	0	633	10	4915	1974	4691	7303	4179	3590	32	0	15	86	70	671	1788	7	2427	1360	375	172	4055	2958	0	708	1	1304	1534	82	412	18	260	162	44	78	0	0	647	5	14989596
112_SD7563_S165	1978	35	32	108	2	0	1135	9	9573	3757	9256	13685	7385	7290	75	6	28	147	107	1217	3063	25	4132	2377	620	197	7374	5208	4	1212	1	2331	2720	107	853	28	654	342	114	180	2	0	1129	2	30687279
113_SD7564_S166	720	19	17	33	6	0	427	7	4386	1380	3556	5924	3509	2377	40	10	19	121	89	648	1840	28	1497	856	202	68	4014	2448	8	460	3	1087	1396	66	399	38	235	318	298	188	5	1	427	5	11793351
114_SD7565_S167	899	13	15	37	3	0	604	5	4863	1802	4130	6493	3851	3321	25	4	22	111	73	743	1768	6	1985	1160	294	92	4033	2707	2	628	2	1296	1390	64	463	28	337	261	120	137	2	1	596	5	12394283
115_SD7566_S168	804	6	5	25	2	0	441	10	3827	1362	3708	5346	3264	2359	16	1	14	64	53	623	1525	19	1762	988	276	110	3425	2415	5	477	3	996	1322	73	442	19	324	162	92	97	2	0	430	7	9702263
116_SD7567_S169	1574	15	18	32	1	1	1007	5	7733	2923	7956	11128	6388	5568	49	5	25	129	136	1149	2874	22	3952	2264	542	228	6482	4504	2	1070	1	1988	2259	101	920	28	591	298	148	178	0	0	1016	2	23194224
117_SD7568_S170	1530	14	5	13	0	0	875	5	7697	2998	6936	10766	6150	5787	21	2	11	129	107	1030	2654	10	3309	1827	485	149	6075	4131	1	937	0	2184	2068	85	715	8	475	277	71	146	0	0	866	1	21141227
118_SD7569_S171	186	10	2	6	0	1	146	3	1152	517	1004	1555	1000	884	8	0	2	29	24	236	467	1	583	305	94	26	944	704	2	155	0	351	386	10	87	6	81	46	2	20	3	0	146	2	3036380
119_SD7570_S172	785	8	8	19	1	0	519	2	4058	1669	4226	5949	3550	3131	14	4	12	74	66	598	1442	12	2196	1228	387	135	3370	2545	0	552	0	1099	1196	50	483	2	338	124	26	58	0	0	516	1	11946996
120_SD7571_S173	1922	15	14	37	2	0	1199	9	9569	3774	9211	14223	7348	7734	38	5	18	136	92	1184	3138	9	4580	2635	586	209	7360	5004	2	1295	0	2590	2429	101	938	13	586	281	55	147	2	0	1239	4	30648360
121_SD7572_S174	2080	28	10	47	1	0	1186	18	10032	3757	9322	14072	7589	7697	39	4	22	176	136	1279	3230	5	4711	2516	626	247	7468	5331	0	1294	1	2638	2449	96	808	9	524	288	61	122	0	0	1198	9	26982925
122_SD7573_S175	1446	21	17	72	2	1	889	5	7622	2981	7275	10115	5920	5783	39	2	24	106	104	976	2583	18	3270	1913	518	194	5811	3962	2	958	0	1876	1960	92	770	20	453	278	58	122	2	0	877	2	22388470
