SampleId	gtdb_r207_ackA	gtdb_r207_acnA	gtdb_r207_acs	gtdb_r207_acsB	gtdb_r207_acsE	gtdb_r207_cdhA	gtdb_r207_cdhC	gtdb_r207_cooS	gtdb_r207_eno	gtdb_r207_fbaA	gtdb_r207_fbaB	gtdb_r207_fchA	gtdb_r207_fdhA	gtdb_r207_fhs	gtdb_r207_folD	gtdb_r207_ftr	gtdb_r207_fumA	gtdb_r207_fumB	gtdb_r207_fwdA_fmdA	gtdb_r207_gapA	gtdb_r207_gapN	gtdb_r207_gapor	gtdb_r207_glpX	gtdb_r207_gltA	gtdb_r207_gpmA	gtdb_r207_gpmI	gtdb_r207_hdrA	gtdb_r207_hdrD	gtdb_r207_hdrE	gtdb_r207_hmd	gtdb_r207_icd	gtdb_r207_idh3	gtdb_r207_korA	gtdb_r207_korB	gtdb_r207_korC	gtdb_r207_korD	gtdb_r207_mch	gtdb_r207_mcrA	gtdb_r207_mdh	gtdb_r207_mer	gtdb_r207_metF	gtdb_r207_mqo	gtdb_r207_mtaA	gtdb_r207_mtbA	gtdb_r207_mtbB	gtdb_r207_mtd	gtdb_r207_mtmB	gtdb_r207_mtrA	gtdb_r207_mtrH	gtdb_r207_mttB	gtdb_r207_mvhA_vhuA_vhcA	gtdb_r207_pfkC	gtdb_r207_pfp	gtdb_r207_pgi	gtdb_r207_pgk	gtdb_r207_pgl	gtdb_r207_pgm	gtdb_r207_ppdk	gtdb_r207_prkB	gtdb_r207_pta	gtdb_r207_rbcL	gtdb_r207_rbcS	gtdb_r207_rpe	gtdb_r207_rpiA	gtdb_r207_sdhA_frdA	gtdb_r207_sdhB_frdB	gtdb_r207_sdhC_frdC	gtdb_r207_sdhD_frdD	gtdb_r207_sucC	gtdb_r207_sucD	gtdb_r207_tktA	gtdb_r207_tpi	read_pair_count
10_SD7461_H054_pH7	2434	10827	16728	27	718	194	15	27	6044	945	1362	710	3756	2883	3641	353	1397	1107	1061	4896	15410	198	2324	5305	1967	3097	1459	1021	83	8	5470	7786	4194	2969	234	682	350	1	3759	2725	1675	306	61	116	0	2	1	16	5	44	377	0	1315	1829	4667	1517	2706	8679	119	1656	299	52	2979	925	10662	2898	518	287	5286	4134	8189	2884	24741159
11_SD7462_H055_pH7	5220	23092	34402	43	1580	327	35	34	12852	2142	2988	1592	7779	5779	7790	796	3061	2504	2134	10428	30671	363	4870	11947	4055	6686	2630	2107	103	11	12140	16723	8881	6592	443	1344	669	2	7979	5384	3772	530	122	251	2	6	4	35	4	76	884	1	2840	4256	10113	3469	6438	18477	267	3749	523	90	6389	2034	22713	6264	1031	577	10878	8780	17115	6227	51525961
12_SD7463_H056_pH7	1002	4427	7479	10	393	104	4	10	2367	432	531	265	1597	1172	1597	114	608	519	547	1858	6786	74	918	2230	776	1253	836	475	37	10	2352	3160	1747	1278	108	308	100	3	1461	1312	672	130	29	59	3	0	3	9	6	22	160	0	595	778	1863	668	1305	3548	45	691	108	23	1126	369	4442	1218	225	132	2165	1682	3308	1184	9918540
13_SD7464_H057_pH7	7597	30390	44106	42	1903	326	25	34	17538	2445	3375	1893	9972	7576	10146	1757	4029	3484	3591	14198	38221	398	6801	15799	5626	7057	3090	2460	129	18	15643	21929	11552	8208	565	1503	1264	0	10510	6477	5161	680	132	247	0	2	5	47	0	121	1016	0	3756	5166	13010	4661	7532	25122	379	4892	655	152	8354	2477	29288	7801	1181	606	14290	11653	21726	8182	76644150
14_SD7465_H058_pH7	9841	40618	59214	69	2395	397	47	79	23877	3154	4871	2815	13153	10447	14303	2308	5563	5085	4364	19251	50626	735	9338	20892	7843	10280	3827	3439	146	10	21180	30292	16472	11658	678	1954	1926	0	14577	8298	6945	784	144	352	3	1	3	45	0	147	1519	0	5044	6769	17614	5828	9913	33797	462	6257	747	135	11238	3423	39867	10322	1656	799	19922	15423	28884	10782	99568062
15_SD7466_H059_pH7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
16_SD7467_H061_pH6.5	1807	7114	11246	7	569	128	7	6	4098	701	743	470	2507	1711	2540	385	1000	880	957	3137	10331	128	1623	3793	1402	1789	1060	710	37	9	3813	5205	2874	1980	158	495	274	0	2546	1778	1294	197	46	73	3	0	1	10	2	21	240	1	991	1300	3125	1163	2041	5655	79	1126	165	34	1952	589	7192	1888	319	170	3400	2697	5326	1867	16782882
17_SD7468_H062_pH6.5	2046	8410	13454	9	597	134	10	19	4806	885	880	541	2970	1875	2921	388	1127	970	966	3856	12652	144	1894	4226	1646	2117	1227	811	48	19	4292	5931	3055	2189	200	554	321	1	3018	2104	1538	245	58	106	1	1	1	14	5	45	290	0	1127	1518	3685	1277	2429	6648	166	1329	262	35	2375	867	8543	2354	431	266	4045	3288	6576	2408	20212238
18_SD7469_H063_pH6.5	7480	27536	40706	39	1768	353	30	21	15885	2581	2922	1706	8882	6825	9254	1371	3601	3273	3097	12696	35104	350	6228	14194	5062	7369	2894	2251	135	15	13787	18998	10427	7461	502	1390	1094	0	9431	5511	4686	671	137	275	0	0	2	54	3	86	1045	1	3303	4948	11876	4371	8033	22257	338	4332	705	127	8071	2606	26666	7083	1171	726	13552	10512	21212	7418	69181373
19_SD7470_H065_pH6.5	1996	7938	12347	6	579	135	5	5	4628	794	802	491	2681	1841	2679	296	1073	825	872	3500	11302	121	1882	4182	1496	2256	1101	706	50	14	4107	5574	3081	2136	179	453	288	0	2584	1845	1396	222	24	65	4	2	0	22	2	37	278	0	1029	1406	3488	1289	2338	6147	95	1297	224	36	2207	734	7823	2037	412	226	3860	2986	5821	2059	19250985
20_SD7471_H067_pH6.5	4973	18206	26774	2	1176	266	2	18	10427	1640	1493	1132	5712	3996	6105	821	2290	1934	1994	8237	23056	239	4131	9253	3020	5711	2290	1701	113	20	9540	12790	6801	5193	488	1072	721	0	6238	3906	3291	361	64	170	2	0	1	29	5	49	952	1	2127	3506	7762	2958	5736	14917	222	2828	469	95	4921	1747	17083	4656	788	497	8681	6852	14694	4928	42811259
21_SD7472_H068_pH6.5	2309	9743	13883	10	595	155	7	22	5540	778	1077	539	2838	2349	3088	462	1130	1018	1110	4483	11497	139	2017	4723	1692	2444	1117	804	56	13	4668	6438	3492	2544	162	566	302	1	3141	1931	1517	246	70	124	3	3	1	23	4	35	273	0	1141	1523	4190	1494	2442	7874	109	1424	238	64	2508	706	8871	2275	396	200	4578	3449	6857	2372	26778228
22_SD7473_H069_pH6.5	7799	29460	42534	35	1947	319	18	24	17363	2883	2816	1758	8891	6929	9828	1308	3352	3169	3009	13378	35410	345	6410	15047	4808	8461	3098	2319	154	20	14843	19994	11164	NA	763	1665	1063	0	9919	5939	5082	672	113	214	0	0	0	64	5	90	1296	8	3363	5277	12655	4470	9266	23929	368	4057	776	150	8054	2975	27000	7468	1257	811	14132	11251	23103	NA	74563814
23_SD7474_H070_pH6.5	10447	40366	55079	9	2119	295	3	24	23866	3929	3968	2268	11080	9259	13108	1888	4348	4132	3939	18498	42518	485	8880	19042	6566	11761	3605	3016	160	20	19303	25885	14647	10479	838	1794	1650	1	13724	6629	6850	1086	82	301	0	0	5	85	0	71	1645	0	4043	6782	17682	5832	11624	31981	571	5777	1146	198	10787	3769	34962	9979	1558	1024	19259	15307	31613	10376	117356357
24_SD7475_H071_pH6.5	5171	20293	29980	13	1271	294	7	19	11632	2055	2194	1176	6576	4819	6964	977	2625	2465	2338	9169	27496	285	4555	10523	4003	5082	2269	1747	97	29	10410	14321	7676	5474	375	1199	789	0	6921	4318	3419	496	102	188	1	3	9	36	2	80	677	0	2585	3602	8635	3201	5306	16099	312	3043	568	100	5439	1768	20082	5223	888	540	9604	7718	14810	5364	50064631
25_SD7476_H072_pH6.5	3724	15782	22762	24	1000	207	17	11	8736	1371	1722	876	4517	3559	5069	714	1826	1610	1804	7177	19265	175	3626	7486	2757	3959	1668	1280	77	19	7644	10441	6029	4133	309	833	647	3	5412	3010	2642	351	48	142	0	1	0	41	1	49	498	0	1784	2657	6793	2266	3985	12399	214	2267	440	60	4138	1272	14539	3800	652	361	7505	5977	11441	4029	43033189
26_SD7477_H073_pH6.5	10302	41077	59587	85	2540	397	53	62	23512	3117	5088	2833	13696	11232	14033	2462	5435	5120	4959	19276	50689	752	9036	21923	7673	9994	3932	3259	164	4	22279	31227	17146	12087	784	2038	2037	0	14690	8781	6070	785	168	451	0	0	2	82	2	171	1448	0	5209	6875	17445	6486	10430	34887	509	6008	930	186	11190	3630	40057	10812	1412	786	19692	15704	29390	10725	105422390
27_SD7478_H074_pH6.5	2402	9431	14873	19	745	149	12	27	5339	913	1264	711	3357	2287	3370	455	1182	1060	1151	4284	14334	156	2013	5023	1739	2639	1446	989	65	8	4998	6964	3610	2761	264	730	325	0	3257	2344	1630	229	95	141	1	1	0	39	3	65	385	0	1341	1801	4096	1647	2798	7686	130	1616	256	41	2794	947	9382	2523	477	264	4439	3513	7248	2559	22857846
28_SD7479_H075_pH6.5	4596	18787	27450	20	1215	229	12	22	10641	1716	2024	1075	6141	4610	6312	965	2335	2097	2095	8575	24062	239	4023	9224	3401	5006	2113	1597	93	12	9544	12996	7085	4810	331	966	705	0	6104	3769	3193	461	65	131	1	5	0	33	3	77	644	0	2191	3297	8215	2825	5128	14710	215	2799	484	100	5019	1645	17829	4562	822	427	8811	6957	13805	5081	46992973
29_SD7480_H076_pH6.5	5	32	71	0	4	2	1	1	10	2	1	5	7	13	5	0	5	1	5	17	87	0	8	28	6	7	11	2	0	1	16	28	13	8	0	5	1	1	13	16	4	3	2	0	0	0	0	0	0	0	4	1	9	7	16	7	15	24	2	10	3	0	9	1	26	12	3	0	11	11	15	2	61196
